1303132929 224.19
1303132930 225.57
1303132931 226.09
1303132932 222.74
1303132933 222.20
1303132934 222.11
1303132935 223.14
1303132936 223.17
1303132937 222.25
1303132938 222.64
1303132939 221.88
1303132940 223.60
1303132941 222.21
1303132942 222.82
1303132943 222.91
1303132944 222.81
1303132945 221.64
1303132946 222.94
1303132947 222.43
1303132948 221.98
1303132949 222.30
1303132950 222.90
1303132951 222.56
1303132952 222.38
1303132953 222.96
1303132954 222.95
1303132955 221.77
1303132956 224.60
1303132957 222.54
1303132958 223.17
1303132959 225.66
1303132960 226.03
1303132961 227.27
1303132962 226.36
1303132963 222.36
1303132964 222.96
1303132965 223.43
1303132966 223.63
1303132967 223.52
1303132968 223.18
1303132969 223.05
1303132970 225.39
1303132971 227.29
1303132972 225.90
1303132973 223.32
1303132974 221.72
1303132975 222.71
1303132976 223.58
